[09:41:53.756249] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:403850 Ay:-2133848 Az:181043108 Gx:3376469 Gy:135384252 Gz:1607528 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152649,-79.6839404 σLat:1.7924m σLon:1.7490m SVs:17/15 SOL_COMPUTED SINGLE
[09:41:55.700697] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2178239 Ay:-1374769 Az:165685895 Gx:43355007 Gy:83003952 Gz:8898984 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152626,-79.6839449 σLat:1.7867m σLon:1.7462m SVs:16/15 SOL_COMPUTED SINGLE
[09:41:57.454047] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:720970 Ay:-283509 Az:164334096 Gx:57181 Gy:-31098 Gz:-51561 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152963,-79.6839147 σLat:1.9787m σLon:1.7902m SVs:14/13 SOL_COMPUTED SINGLE
[09:41:59.128618] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1089153 Ay:-398071 Az:164324956 Gx:26444 Gy:-48813 Gz:-26045 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152958,-79.6839136 σLat:2.0789m σLon:1.8844m SVs:14/13 SOL_COMPUTED SINGLE
[09:42:00.844760] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1764152 Ay:-343184 Az:164104839 Gx:62577 Gy:-446526 Gz:22242 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152883,-79.6839013 σLat:1.9555m σLon:1.7170m SVs:15/14 SOL_COMPUTED SINGLE
[09:42:02.807639] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:212939 Ay:-849422 Az:164741521 Gx:-152358 Gy:-317963 Gz:8414 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152961,-79.6838818 σLat:1.7919m σLon:1.5602m SVs:15/14 SOL_COMPUTED SINGLE
[09:42:04.743459] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1249448 Ay:-707396 Az:164322277 Gx:-40449 Gy:-376910 Gz:-1051 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153185,-79.6839221 σLat:1.7728m σLon:1.5261m SVs:15/14 SOL_COMPUTED SINGLE
[09:42:06.458937] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1550013 Ay:-673983 Az:164239356 Gx:-9380 Gy:-86906 Gz:-79 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153048,-79.6838905 σLat:1.7704m σLon:1.5233m SVs:15/14 SOL_COMPUTED SINGLE
[09:42:08.283313] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-7215275 Ay:-2944865 Az:189325680 Gx:-4583766 Gy:-192637016 Gz:-4289265 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153160,-79.6839043 σLat:1.7835m σLon:1.5467m SVs:15/14 SOL_COMPUTED SINGLE
[09:42:10.163490] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-318253 Ay:-1688999 Az:163282544 Gx:1555742 Gy:5006748 Gz:2520287 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153449,-79.6839181 σLat:1.6080m σLon:1.4676m SVs:15/15 SOL_COMPUTED SINGLE
