[15:27:16.014640] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1931 Ay:-0.2357 Az:+9.8475 Gyro(°/s) Gx:+0.0136 Gy:+0.0280 Gz:+0.0103 | Roll:+0.90°(σ3.000) Pitch:-1.31°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.008 E:+0.026 U:-0.038 2D:0.027 m/s | INS 43.5148754,-79.6840716 H:165.968m | GNSS 43.5148958,-79.6840680 σLat:1.4699m σLon:1.6165m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:17.013656] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1533 Ay:-0.2205 Az:+9.8494 Gyro(°/s) Gx:+0.0018 Gy:-0.0033 Gz:+0.0259 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.016 E:-0.002 U:-0.028 2D:0.016 m/s | INS 43.5148755,-79.6840711 H:166.041m | GNSS 43.5148958,-79.6840679 σLat:1.4687m σLon:1.6147m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:18.012990] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1549 Ay:-0.2275 Az:+9.8116 Gyro(°/s) Gx:-0.0015 Gy:+0.0054 Gz:+0.0139 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.009 E:-0.019 U:+0.034 2D:0.021 m/s | INS 43.5148755,-79.6840713 H:166.156m | GNSS 43.5148946,-79.6840689 σLat:1.4678m σLon:1.6136m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:19.016737] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1456 Ay:-0.2578 Az:+9.8532 Gyro(°/s) Gx:+0.0147 Gy:+0.0266 Gz:+0.0176 | Roll:+0.89°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.004 E:-0.006 U:+0.004 2D:0.008 m/s | INS 43.5148756,-79.6840714 H:166.104m | GNSS 43.5148947,-79.6840690 σLat:1.4679m σLon:1.6138m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:20.013782] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1798 Ay:-0.2216 Az:+9.8705 Gyro(°/s) Gx:+0.0146 Gy:+0.0137 Gz:+0.0137 | Roll:+0.89°(σ3.000) Pitch:-1.31°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.007 E:+0.004 U:-0.015 2D:0.009 m/s | INS 43.5148756,-79.6840717 H:166.276m | GNSS 43.5148949,-79.6840686 σLat:1.4671m σLon:1.6131m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:21.016889] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1634 Ay:-0.2252 Az:+9.8190 Gyro(°/s) Gx:+0.0361 Gy:+0.0076 Gz:+0.0177 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.008 E:+0.009 U:-0.015 2D:0.012 m/s | INS 43.5148754,-79.6840725 H:166.562m | GNSS 43.5148951,-79.6840680 σLat:1.4689m σLon:1.6137m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:22.016946] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1488 Ay:-0.2483 Az:+9.8095 Gyro(°/s) Gx:+0.0369 Gy:+0.0088 Gz:+0.0290 | Roll:+0.89°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.006 E:-0.010 U:-0.013 2D:0.012 m/s | INS 43.5148759,-79.6840710 H:166.338m | GNSS 43.5148951,-79.6840680 σLat:1.4686m σLon:1.6134m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:23.015701] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1259 Ay:-0.2297 Az:+9.8046 Gyro(°/s) Gx:+0.0167 Gy:+0.0106 Gz:+0.0279 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.009 E:-0.008 U:-0.023 2D:0.012 m/s | INS 43.5148757,-79.6840717 H:166.581m | GNSS 43.5148955,-79.6840677 σLat:1.4668m σLon:1.6126m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:24.017170] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1418 Ay:-0.2405 Az:+9.8675 Gyro(°/s) Gx:+0.0175 Gy:+0.0092 Gz:+0.0205 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.008 E:+0.017 U:-0.015 2D:0.019 m/s | INS 43.5148740,-79.6840782 H:167.719m | GNSS 43.5148956,-79.6840674 σLat:1.4674m σLon:1.6128m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:25.014510] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1620 Ay:-0.2262 Az:+9.8607 Gyro(°/s) Gx:-0.0274 Gy:-0.0283 Gz:+0.0333 | Roll:+0.90°(σ3.000) Pitch:-1.29°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.016 E:+0.014 U:-0.058 2D:0.021 m/s | INS 43.5148741,-79.6840777 H:167.794m | GNSS 43.5148955,-79.6840670 σLat:1.4685m σLon:1.6123m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:26.015441] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1301 Ay:-0.2339 Az:+9.7980 Gyro(°/s) Gx:+0.0263 Gy:+0.0053 Gz:+0.0188 | Roll:+0.89°(σ3.000) Pitch:-1.31°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.009 E:-0.037 U:+0.028 2D:0.038 m/s | INS 43.5148757,-79.6840720 H:166.847m | GNSS 43.5148956,-79.6840670 σLat:1.4689m σLon:1.6125m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:27.029136] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1422 Ay:-0.2249 Az:+9.7980 Gyro(°/s) Gx:+0.0112 Gy:-0.0037 Gz:+0.0167 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.002 E:-0.017 U:+0.007 2D:0.017 m/s | INS 43.5148742,-79.6840780 H:167.680m | GNSS 43.5148959,-79.6840660 σLat:1.4707m σLon:1.6139m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:28.013309] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1367 Ay:-0.2252 Az:+9.8330 Gyro(°/s) Gx:-0.0079 Gy:+0.0275 Gz:+0.0185 | Roll:+0.89°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.012 E:-0.018 U:+0.054 2D:0.021 m/s | INS 43.5148742,-79.6840779 H:167.756m | GNSS 43.5148952,-79.6840660 σLat:1.4708m σLon:1.6127m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:29.013176] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1606 Ay:-0.2203 Az:+9.8577 Gyro(°/s) Gx:-0.0392 Gy:-0.0295 Gz:+0.0196 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.009 E:+0.004 U:+0.023 2D:0.010 m/s | INS 43.5148743,-79.6840776 H:167.788m | GNSS 43.5148953,-79.6840658 σLat:1.4708m σLon:1.6124m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:30.016458] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1796 Ay:-0.2239 Az:+9.8344 Gyro(°/s) Gx:+0.0009 Gy:-0.0080 Gz:+0.0275 | Roll:+0.89°(σ3.000) Pitch:-1.31°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:+0.001 E:+0.002 U:-0.043 2D:0.002 m/s | INS 43.5148743,-79.6840772 H:167.850m | GNSS 43.5148951,-79.6840656 σLat:1.4721m σLon:1.6116m SVs:25/23 SOL_COMPUTED SINGLE
[15:27:31.013912] WAITING_AZIMUTH                | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1671 Ay:-0.2193 Az:+9.8518 Gyro(°/s) Gx:-0.0217 Gy:-0.0064 Gz:+0.0132 | Roll:+0.90°(σ3.000) Pitch:-1.30°(σ3.000) Hdg:-0.00°(σ180.000) | Vel N:-0.009 E:+0.016 U:-0.027 2D:0.019 m/s | INS 43.5148743,-79.6840773 H:167.930m | GNSS 43.5148949,-79.6840656 σLat:1.4737m σLon:1.6111m SVs:25/23 SOL_COMPUTED SINGLE
