[11:32:51.016051] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7621 Ay:-0.1789 Az:+9.7878 Gyro(°/s) Gx:-0.0396 Gy:-0.0091 Gz:+0.0011 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:2/0 INSUFFICIENT_OBS NONE
[11:32:52.013930] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7571 Ay:-0.1791 Az:+9.7960 Gyro(°/s) Gx:+0.0047 Gy:-0.0261 Gz:+0.0042 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:3/0 INSUFFICIENT_OBS NONE
[11:32:53.012129] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7733 Ay:-0.1792 Az:+9.8050 Gyro(°/s) Gx:+0.0039 Gy:+0.0123 Gz:-0.0061 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:3/0 INSUFFICIENT_OBS NONE
[11:32:54.019410] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7664 Ay:-0.1773 Az:+9.8125 Gyro(°/s) Gx:-0.0111 Gy:+0.0135 Gz:+0.0033 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:3/0 INSUFFICIENT_OBS NONE
[11:32:55.023016] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7589 Ay:-0.1726 Az:+9.8082 Gyro(°/s) Gx:-0.0099 Gy:+0.0161 Gz:+0.0219 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:3/0 INSUFFICIENT_OBS NONE
[11:32:56.026836] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7562 Ay:-0.1924 Az:+9.7925 Gyro(°/s) Gx:+0.0002 Gy:-0.0185 Gz:+0.0167 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155577,-79.6842051 σLat:103.4490m σLon:31.2909m SVs:6/6 SOL_COMPUTED SINGLE
[11:32:57.036988] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7598 Ay:-0.1703 Az:+9.8147 Gyro(°/s) Gx:-0.0137 Gy:+0.0035 Gz:+0.0030 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155532,-79.6842049 σLat:103.5073m σLon:31.2946m SVs:6/6 SOL_COMPUTED SINGLE
[11:32:58.024688] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7651 Ay:-0.1807 Az:+9.7863 Gyro(°/s) Gx:-0.0160 Gy:-0.0068 Gz:+0.0144 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155311,-79.6842051 σLat:7.2583m σLon:1.9905m SVs:7/6 SOL_COMPUTED SINGLE
[11:32:59.030277] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7535 Ay:-0.1702 Az:+9.8108 Gyro(°/s) Gx:+0.0011 Gy:-0.0221 Gz:+0.0088 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155280,-79.6842076 σLat:2.3743m σLon:1.7280m SVs:7/7 SOL_COMPUTED SINGLE
[11:33:00.035013] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7730 Ay:-0.1796 Az:+9.7935 Gyro(°/s) Gx:+0.0104 Gy:-0.0034 Gz:+0.0051 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155286,-79.6842088 σLat:2.3629m σLon:1.7179m SVs:7/7 SOL_COMPUTED SINGLE
[11:33:01.024116] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7475 Ay:-0.1701 Az:+9.8075 Gyro(°/s) Gx:-0.0106 Gy:-0.0059 Gz:+0.0077 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155278,-79.6842095 σLat:2.3503m σLon:1.7067m SVs:7/7 SOL_COMPUTED SINGLE
[11:33:02.028054] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.7620 Ay:-0.1519 Az:+9.8062 Gyro(°/s) Gx:-0.0098 Gy:-0.0116 Gz:+0.0192 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5155282,-79.6842095 σLat:2.3523m σLon:1.7101m SVs:7/7 SOL_COMPUTED SINGLE
