[08:38:45.607896] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2213590 Ay:-1757046 Az:164324268 Gx:34771 Gy:-20421 Gz:95282 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153803,-79.6839378 σLat:1.5800m σLon:1.5125m SVs:16/11 SOL_COMPUTED SINGLE
[08:38:46.607193] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2175732 Ay:-1757755 Az:164325419 Gx:7452 Gy:-27332 Gz:92339 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153817,-79.6839354 σLat:1.5746m σLon:1.5123m SVs:16/12 SOL_COMPUTED SINGLE
[08:38:47.607363] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1986646 Ay:-1843982 Az:164227111 Gx:-3938 Gy:19909 Gz:102983 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153826,-79.6839335 σLat:1.5768m σLon:1.5135m SVs:16/12 SOL_COMPUTED SINGLE
[08:38:48.621069] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2021663 Ay:-1855728 Az:164192872 Gx:33518 Gy:36979 Gz:85803 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153820,-79.6839309 σLat:1.5768m σLon:1.5132m SVs:16/12 SOL_COMPUTED SINGLE
[08:38:49.607476] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2283330 Ay:-1374916 Az:164308932 Gx:20633 Gy:-22316 Gz:44920 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153813,-79.6839295 σLat:1.5345m σLon:1.5041m SVs:16/13 SOL_COMPUTED SINGLE
[08:38:50.606767] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2240034 Ay:-1645056 Az:164342069 Gx:17871 Gy:-87548 Gz:95653 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153826,-79.6839282 σLat:1.5019m σLon:1.4588m SVs:16/15 SOL_COMPUTED SINGLE
[08:38:51.607516] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2124941 Ay:-1650066 Az:164331241 Gx:10425 Gy:-11311 Gz:106277 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153812,-79.6839267 σLat:1.4992m σLon:1.4596m SVs:16/15 SOL_COMPUTED SINGLE
[08:38:52.608048] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2081035 Ay:-1764404 Az:164257368 Gx:-2614 Gy:-48976 Gz:116575 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153810,-79.6839253 σLat:1.5030m σLon:1.4610m SVs:16/15 SOL_COMPUTED SINGLE
[08:38:53.608271] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2209343 Ay:-1666997 Az:164311826 Gx:36091 Gy:-30675 Gz:87211 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153805,-79.6839243 σLat:1.5004m σLon:1.4621m SVs:16/15 SOL_COMPUTED SINGLE
[08:38:54.610090] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2347550 Ay:-1429111 Az:164415397 Gx:82244 Gy:-48180 Gz:98936 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153800,-79.6839234 σLat:1.5014m σLon:1.4615m SVs:16/15 SOL_COMPUTED SINGLE
