[11:05:06.033387] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0162 Ay:-0.2288 Az:+9.8339 Gyro(°/s) Gx:+0.0164 Gy:+0.0195 Gz:-0.0027 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153495,-79.6838225 σLat:1.3217m σLon:1.2389m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:07.030150] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:+0.0203 Ay:-0.2235 Az:+9.8180 Gyro(°/s) Gx:+0.0134 Gy:+0.0092 Gz:+0.0002 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153487,-79.6838203 σLat:1.3195m σLon:1.2365m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:08.037455] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0049 Ay:-0.2232 Az:+9.8434 Gyro(°/s) Gx:-0.0159 Gy:-0.0609 Gz:-0.0200 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153483,-79.6838191 σLat:1.3223m σLon:1.2372m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:09.035990] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:+0.0033 Ay:-0.2429 Az:+9.8306 Gyro(°/s) Gx:+0.0194 Gy:-0.0297 Gz:-0.0151 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153482,-79.6838185 σLat:1.3212m σLon:1.2377m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:10.027968] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0227 Ay:-0.2037 Az:+9.8382 Gyro(°/s) Gx:+0.0294 Gy:-0.0208 Gz:-0.0060 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153479,-79.6838174 σLat:1.3183m σLon:1.2361m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:11.048980] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:+0.0149 Ay:-0.2078 Az:+9.8183 Gyro(°/s) Gx:+0.0174 Gy:+0.0416 Gz:-0.0023 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153476,-79.6838166 σLat:1.3169m σLon:1.2349m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:12.049091] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0145 Ay:-0.2248 Az:+9.8367 Gyro(°/s) Gx:+0.0351 Gy:-0.0255 Gz:-0.0067 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153478,-79.6838167 σLat:1.3230m σLon:1.2393m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:13.032194] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0268 Ay:-0.2297 Az:+9.8416 Gyro(°/s) Gx:+0.0173 Gy:-0.0055 Gz:-0.0151 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153480,-79.6838166 σLat:1.3248m σLon:1.2374m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:14.052198] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0072 Ay:-0.2188 Az:+9.8320 Gyro(°/s) Gx:+0.0050 Gy:+0.0052 Gz:-0.0110 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153483,-79.6838166 σLat:1.3255m σLon:1.2400m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:15.048778] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0261 Ay:-0.1949 Az:+9.8387 Gyro(°/s) Gx:+0.0104 Gy:+0.0282 Gz:-0.0044 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153485,-79.6838168 σLat:1.3252m σLon:1.2398m SVs:18/18 SOL_COMPUTED SINGLE
