sys_datetime,unix_timestamp,gps_week,gps_seconds,ins_status,pose_quality,ins_lat,ins_lon,ins_height_m,ins_undulation_m,roll_deg,pitch_deg,azimuth_deg,roll_sig_deg,pitch_sig_deg,azimuth_sig_deg,vel_n_ms,vel_e_ms,vel_u_ms,speed_2d_ms,vel_n_sig_ms,vel_e_sig_ms,vel_u_sig_ms,veh_lat_acc_ms2,veh_long_acc_ms2,veh_vert_acc_ms2,veh_pitch_rate_degs,veh_roll_rate_degs,veh_yaw_rate_degs,veh_pitch_rate_rads,veh_roll_rate_rads,veh_yaw_rate_rads,raw_accel_x_lsb,raw_accel_y_lsb,raw_accel_z_lsb,raw_gyro_x_lsb,raw_gyro_y_lsb,raw_gyro_z_lsb,raw_accel_x_ms2,raw_accel_y_ms2,raw_accel_z_ms2,raw_gyro_x_degs,raw_gyro_y_degs,raw_gyro_z_degs,imu_type,imu_status_hex,gnss_lat,gnss_lon,gnss_height_m,gnss_undulation_m,gnss_sol_status,gnss_pos_type,gnss_sol_quality,gnss_lat_sig_m,gnss_lon_sig_m,gnss_height_sig_m,gnss_num_svs,gnss_num_used,gnss_diff_age_s,gnss_sol_age_s,ext_pos_update,ext_vel_update,ext_att_update,ext_phase_update,ext_zero_vel,ext_wheel_sensor,ext_heading_update,ext_ins_enabled,ext_heading_align,spec_analysis_type,spec_band_id,spec_center_freq_hz,spec_bandwidth_hz,spec_power_dbm,spec_noise_dbm
2026-05-26 15:27:07.545139,1779823627.545139,2420,242834.0,WAITING_AZIMUTH,bad,43.51487615043,-79.68406861855,166.1123,-37.1,0.899761052,-1.295256956,-0.0,3.0,3.0,180.0,0.003,-0.0048,0.0017,0.0057,0.0645,0.066,0.1338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2820725,-3749719,164978584,2781,-14182,210817,-0.168834611946106,-0.22443958637298586,9.874799992575685,0.0006429492416381836,-0.0032787868194580076,0.04873952904510498,61,fe5efe00,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:07.828043,1779823627.828043,2420,242835.0,WAITING_AZIMUTH,bad,43.51487619879,-79.68406817756,166.0519,-37.1,0.892320003,-1.304023145,-0.0,3.0,3.0,180.0,-0.0065,-0.0178,0.0152,0.0189,0.0645,0.0659,0.1337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2105086,-3850194,163671751,-4694,-76107,125736,-0.126000009899292,-0.23045352166809085,9.79657944912201,-0.0010852224884033202,-0.017595446937561036,0.029069351257324218,61,fe57fe00,43.51489608981,-79.68406512889,168.1589,-37.1,SOL_COMPUTED,SINGLE,good,1.4689,1.6169,3.2404,26,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:08.598042,1779823628.598042,2420,242846.0,WAITING_AZIMUTH,bad,43.51487484813,-79.68407028008,166.4919,-37.1,0.898235639,-1.302594666,-0.0,3.0,3.0,180.0,-0.0025,-0.0084,0.0194,0.0088,0.0645,0.0658,0.1337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2423625,-3759555,164314975,-1067,24686,18622,-0.14506617496490481,-0.2250283205612183,9.835079648338318,-0.00024668350982666015,0.005707243789672851,0.004305286148071289,61,fe0afe00,43.51489485285,-79.68406657285,168.3927,-37.1,SOL_COMPUTED,SINGLE,good,1.4693,1.6131,3.2543,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:09.011094,1779823629.011094,2420,242847.0,WAITING_AZIMUTH,bad,43.51487489385,-79.68407032379,166.4703,-37.1,0.898639887,-1.312179849,-0.0,3.0,3.0,180.0,0.0329,0.0142,-0.0215,0.0358,0.0645,0.0658,0.1337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2793381,-3858030,164261573,109005,-39831,60936,-0.16719793569122318,-0.23092254577331547,9.831883269411927,0.025201252098083497,-0.00920866999053955,0.014088009704589843,61,fe04fe00,43.51489491191,-79.68406663837,168.3201,-37.1,SOL_COMPUTED,SINGLE,good,1.47,1.6138,3.2604,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:10.010936,1779823630.010936,2420,242848.0,WAITING_AZIMUTH,bad,43.51487503829,-79.68407011582,166.3829,-37.1,0.899640875,-1.300602243,-0.0,3.0,3.0,180.0,0.0035,-0.0053,0.0163,0.0064,0.0645,0.0658,0.1337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2322957,-3621017,163863686,100918,-106596,8547,-0.13904068764678956,-0.21673612282135013,9.808067726513062,0.023331589920043947,-0.02464430685424805,0.0019760112075805666,61,fdfdfe00,43.51489503113,-79.68406676987,168.2275,-37.1,SOL_COMPUTED,SINGLE,good,1.4697,1.6143,3.2652,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:11.016302,1779823631.016302,2420,242849.0,WAITING_AZIMUTH,bad,43.51487541992,-79.68406920739,166.1393,-37.1,0.892834068,-1.305937318,-0.0,3.0,3.0,180.0,-0.0058,-0.0105,0.0303,0.0120,0.0645,0.0658,0.1337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2223493,-3489244,163414445,122382,86674,51274,-0.13308726579864505,-0.20884884443725588,9.781178387812806,0.028293928115844726,0.02003846910095215,0.011854217697143555,61,fdf6fe00,43.514895205,-79.68406700346,168.0735,-37.1,SOL_COMPUTED,SINGLE,good,1.4688,1.6142,3.2721,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:12.012837,1779823632.012837,2420,242850.0,WAITING_AZIMUTH,bad,43.51487533186,-79.68406983427,166.1567,-37.1,0.897478467,-1.298820383,-0.0,3.0,3.0,180.0,0.003,-0.0113,0.0061,0.0117,0.0645,0.0658,0.1336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2856182,-3503749,164510666,50610,62138,40560,-0.17095689215270998,-0.20971704181427006,9.84679274126526,0.011700705184936523,0.014365904342651368,0.009377210083007813,61,fdeffe00,43.51489532982,-79.68406711447,167.9258,-37.1,SOL_COMPUTED,SINGLE,good,1.4689,1.6147,3.2812,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:13.017068,1779823633.017068,2420,242851.0,WAITING_AZIMUTH,bad,43.51487525698,-79.68406989986,166.3474,-37.1,0.895349669,-1.297543937,-0.0,3.0,3.0,180.0,-0.0093,0.0025,-0.0281,0.0096,0.0645,0.0658,0.1337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2627507,-3720354,164614314,-5045,245,146692,-0.15726954053680423,-0.22268194307922368,9.852996596607056,-0.0011663714218139649,5.6642417907714847e-05,0.03391424313354492,61,fde8fe00,43.51489532435,-79.68406671055,168.1611,-37.1,SOL_COMPUTED,SINGLE,good,1.469,1.6138,3.2711,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:14.021588,1779823634.021588,2420,242852.0,WAITING_AZIMUTH,bad,43.51487516838,-79.68407102852,166.1104,-37.1,0.896558259,-1.310798069,-0.0,3.0,3.0,180.0,0.0008,0.0216,-0.0118,0.0216,0.0645,0.0659,0.1338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2427089,-3687404,163408178,155719,39633,39092,-0.14527351282867434,-0.22070971946166995,9.7808032762677,0.036001227241516116,0.009162893669128418,0.009037817962646485,61,fde2fe00,43.5148952683,-79.68406794509,167.6285,-37.1,SOL_COMPUTED,SINGLE,good,1.4692,1.6144,3.2982,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:15.019559,1779823635.019559,2420,242853.0,WAITING_AZIMUTH,bad,43.51487523808,-79.68407109615,166.2147,-37.1,0.903833936,-1.289324334,-0.0,3.0,3.0,180.0,-0.0167,-0.008,0.0222,0.0185,0.0645,0.0659,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2471193,-4095925,163645220,-93293,79886,53251,-0.14791335957916263,-0.24516176087188724,9.79499143501587,-0.021568739158630373,0.018469127334594725,0.012311287330627441,61,fddafe00,43.5148955354,-79.68406748362,167.686,-37.1,SOL_COMPUTED,SINGLE,good,1.4694,1.6149,3.2963,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:16.014640,1779823636.014640,2420,242854.0,WAITING_AZIMUTH,bad,43.51487535391,-79.68407155919,165.9684,-37.1,0.895437284,-1.313621685,-0.0,3.0,3.0,180.0,0.0081,0.0259,-0.0379,0.0271,0.0645,0.0659,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3225772,-3937866,164522793,58996,121318,44737,-0.1930787169421387,-0.23570113286682132,9.847518603353578,0.013639494232177734,0.02804793818664551,0.01034290550994873,61,fdd3fe00,43.51489577714,-79.6840680378,167.2539,-37.1,SOL_COMPUTED,SINGLE,good,1.4699,1.6165,3.3172,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:17.013656,1779823637.013656,2420,242855.0,WAITING_AZIMUTH,bad,43.51487552134,-79.68407110757,166.0405,-37.1,0.895199553,-1.300258903,-0.0,3.0,3.0,180.0,0.0163,-0.0021,-0.0275,0.0164,0.0645,0.0659,0.1339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2561150,-3684593,164554326,7752,-14345,112085,-0.15329773954772952,-0.22054146694000248,9.84940601237732,0.0017922123413085939,-0.003316471366882324,0.02591332820892334,61,fdcdfe00,43.51489584583,-79.68406786067,167.4457,-37.1,SOL_COMPUTED,SINGLE,good,1.4687,1.6147,3.3077,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:18.012990,1779823638.012990,2420,242856.0,WAITING_AZIMUTH,bad,43.5148755134,-79.68407126813,166.1565,-37.1,0.902006578,-1.299972911,-0.0,3.0,3.0,180.0,-0.0085,-0.0189,0.0339,0.0207,0.0645,0.0659,0.1339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2588439,-3800967,163923112,-6493,23495,59986,-0.1549311237753296,-0.22750703753997806,9.811624672209474,-0.0015011396713256837,0.005431892280578613,0.013868375839233399,61,fdc6fe00,43.51489458809,-79.68406886386,167.7108,-37.1,SOL_COMPUTED,SINGLE,good,1.4678,1.6136,3.3003,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:19.016737,1779823639.016737,2420,242857.0,WAITING_AZIMUTH,bad,43.51487561973,-79.68407139897,166.104,-37.1,0.892336574,-1.298661419,-0.0,3.0,3.0,180.0,-0.0041,-0.0065,0.0044,0.0077,0.0645,0.0659,0.1339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2432720,-4306401,164618445,63467,115070,76240,-0.14561055656738284,-0.2577598105874634,9.853243857783509,0.01467316056060791,0.02660344093322754,0.01762619567871094,61,fdbffe00,43.51489473985,-79.6840689901,167.6065,-37.1,SOL_COMPUTED,SINGLE,good,1.4679,1.6138,3.3048,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-26 15:27:20.013782,1779823640.013782,2420,242858.0,WAITING_AZIMUTH,bad,43.51487562629,-79.68407171732,166.2763,-37.1,0.894406003,-1.30594275,-0.0,3.0,3.0,180.0,-0.0075,0.0044,-0.0155,0.0087,0.0644,0.0659,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3003412,-3701793,164906076,63277,59322,59177,-0.1797693499133301,-0.22157097365386966,9.87046002322632,0.014629233787536621,0.013714863327026367,0.013681340263366698,61,fdb8fe00,43.51489494875,-79.68406862921,167.7279,-37.1,SOL_COMPUTED,SINGLE,good,1.4671,1.6131,3.2979,25,23,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
