INSCONFIG  Profile:LAND  AlignMode:KINEMATIC  ANT1(m) X:1.5000 Y:0.0000 Z:0.4000 (±0.0500 ±0.0500 ±0.0500)  RBV(°) X:0.0000 Y:0.0000 Z:0.0000 (±3.0000 ±3.0000 ±3.0000)
INSCONFIG  Profile:LAND  AlignMode:KINEMATIC  ANT1(m) X:1.5000 Y:0.0000 Z:0.4000 (±0.0500 ±0.0500 ±0.0500)  RBV(°) X:0.0000 Y:0.0000 Z:0.0000 (±3.0000 ±3.0000 ±3.0000)
[15:22:03.352915] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1707 Ay:-0.2246 Az:+9.8425 Gyro(°/s) Gx:-0.0078 Gy:-0.0530 Gz:+0.0142 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:04.354412] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1768 Ay:-0.2316 Az:+9.8965 Gyro(°/s) Gx:+0.0152 Gy:+0.0122 Gz:+0.0326 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:05.367659] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1714 Ay:-0.2470 Az:+9.8734 Gyro(°/s) Gx:-0.0140 Gy:-0.0341 Gz:+0.0168 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:06.350904] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1548 Ay:-0.2276 Az:+9.7832 Gyro(°/s) Gx:+0.0407 Gy:+0.0195 Gz:+0.0113 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:07.353563] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1761 Ay:-0.2210 Az:+9.9124 Gyro(°/s) Gx:+0.0054 Gy:-0.0487 Gz:+0.0113 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:08.348208] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1377 Ay:-0.2212 Az:+9.7650 Gyro(°/s) Gx:+0.0467 Gy:+0.0250 Gz:+0.0037 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:09.347629] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1528 Ay:-0.2107 Az:+9.9042 Gyro(°/s) Gx:+0.0390 Gy:+0.0696 Gz:+0.0126 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:10.348291] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1760 Ay:-0.2250 Az:+9.8715 Gyro(°/s) Gx:-0.0073 Gy:-0.0481 Gz:+0.0320 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:11.350075] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1549 Ay:-0.2312 Az:+9.7537 Gyro(°/s) Gx:-0.0019 Gy:-0.0479 Gz:+0.0199 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
[15:22:12.352706] WAITING_INITIALPOS             | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.1473 Ay:-0.2237 Az:+9.8255 Gyro(°/s) Gx:+0.0147 Gy:-0.0022 Gz:+0.0253 | Roll:+0.00°(σ0.000) Pitch:+0.00°(σ0.000) Hdg:+0.00°(σ0.000) | Vel N:+0.000 E:+0.000 U:+0.000 2D:0.000 m/s | INS 0.0000000,0.0000000 H:0.000m | GNSS 0.0000000,0.0000000 σLat:0.0000m σLon:0.0000m SVs:0/0 INSUFFICIENT_OBS NONE
