[10:46:12.266173] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2691260 Ay:-1597583 Az:164381429 Gx:61968 Gy:46373 Gz:-12538 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153654,-79.6839453 σLat:1.5042m σLon:1.3416m SVs:19/18 SOL_COMPUTED SINGLE
[10:46:12.361271] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2795115 Ay:-1573087 Az:164361889 Gx:58661 Gy:66022 Gz:-35442 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153531,-79.6839033 σLat:1.5064m σLon:1.3507m SVs:19/18 SOL_COMPUTED SINGLE
[10:46:13.023386] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2673562 Ay:-1623902 Az:164352408 Gx:68909 Gy:34581 Gz:-8955 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153522,-79.6839041 σLat:1.5074m σLon:1.3515m SVs:19/18 SOL_COMPUTED SINGLE
[10:46:14.022783] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2745273 Ay:-1540772 Az:164382494 Gx:45518 Gy:57526 Gz:-16853 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153519,-79.6839005 σLat:1.5123m σLon:1.3630m SVs:19/18 SOL_COMPUTED SINGLE
[10:46:15.023837] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2741437 Ay:-1545212 Az:164386259 Gx:43462 Gy:83538 Gz:-11449 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153514,-79.6838981 σLat:1.5146m σLon:1.3745m SVs:19/18 SOL_COMPUTED SINGLE
[10:46:16.022206] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2695270 Ay:-1574435 Az:164386944 Gx:93639 Gy:45718 Gz:-33034 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153509,-79.6838964 σLat:1.5149m σLon:1.3792m SVs:19/18 SOL_COMPUTED SINGLE
[10:46:17.022154] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2728846 Ay:-1562731 Az:164344722 Gx:42390 Gy:30489 Gz:-40610 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153513,-79.6838925 σLat:1.5179m σLon:1.3867m SVs:19/18 SOL_COMPUTED SINGLE
[10:46:18.024027] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:28690662 Ay:-3902868 Az:162829615 Gx:-5468329 Gy:-291186916 Gz:-1592268 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153469,-79.6839009 σLat:1.5155m σLon:1.3696m SVs:19/18 SOL_COMPUTED SINGLE
[10:46:19.022400] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:62337183 Ay:-4706088 Az:149177730 Gx:6012642 Gy:242347708 Gz:1857550 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153428,-79.6839094 σLat:1.5071m σLon:1.3434m SVs:19/18 SOL_COMPUTED SINGLE
[10:46:20.022882] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:97440137 Ay:-9319444 Az:124754456 Gx:-14157630 Gy:-210097968 Gz:22710872 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153417,-79.6839108 σLat:1.5086m σLon:1.3418m SVs:19/18 SOL_COMPUTED SINGLE
[10:46:21.022393] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:86934265 Ay:-3035205 Az:121086648 Gx:-2268387 Gy:-286459180 Gz:5815631 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153407,-79.6839102 σLat:1.5082m σLon:1.3423m SVs:19/18 SOL_COMPUTED SINGLE
