sys_datetime,unix_timestamp,gps_week,gps_seconds,ins_status,pose_quality,ins_lat,ins_lon,ins_height_m,ins_undulation_m,roll_deg,pitch_deg,azimuth_deg,roll_sig_deg,pitch_sig_deg,azimuth_sig_deg,vel_n_ms,vel_e_ms,vel_u_ms,speed_2d_ms,vel_n_sig_ms,vel_e_sig_ms,vel_u_sig_ms,veh_lat_acc_ms2,veh_long_acc_ms2,veh_vert_acc_ms2,veh_pitch_rate_degs,veh_roll_rate_degs,veh_yaw_rate_degs,veh_pitch_rate_rads,veh_roll_rate_rads,veh_yaw_rate_rads,raw_accel_x_lsb,raw_accel_y_lsb,raw_accel_z_lsb,raw_gyro_x_lsb,raw_gyro_y_lsb,raw_gyro_z_lsb,imu_type,imu_status_hex,gnss_lat,gnss_lon,gnss_height_m,gnss_undulation_m,gnss_sol_status,gnss_pos_type,gnss_sol_quality,gnss_lat_sig_m,gnss_lon_sig_m,gnss_height_sig_m,gnss_num_svs,gnss_num_used,gnss_diff_age_s,gnss_sol_age_s,ext_pos_update,ext_vel_update,ext_att_update,ext_phase_update,ext_zero_vel,ext_wheel_sensor,ext_heading_update,ext_ins_enabled,ext_heading_align,spec_analysis_type,spec_band_id,spec_center_freq_hz,spec_bandwidth_hz,spec_power_dbm,spec_noise_dbm
2026-05-25 09:17:26.512688,1779715046.512688,2420,133634.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128407,-1188008,164331981,-16659,-152733,27774,61,f690fe00,43.51540496129,-79.68376165217,166.5348,-37.1,SOL_COMPUTED,SINGLE,good,1.656,1.9685,3.0979,17,13,0.0,0.0,0,0,0,0,0,0,0,0,0,SPECTRUMANALYSIS,L5,1187.869,0.806,-59.801,-112.038
2026-05-25 09:17:29.255605,1779715049.255605,2420,133954.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427260,-1253495,164538055,-84735,75870,34227,61,f4fafe00,43.51539843239,-79.68393026672,180.0657,-37.1,SOL_COMPUTED,SINGLE,good,1.5538,1.5439,2.9505,17,15,0.0,0.0,0,0,0,0,0,0,0,0,0,SPECTRUMANALYSIS,L5,1187.869,0.806,-59.801,-112.038
2026-05-25 09:17:32.762997,1779715052.762997,2420,134264.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2317537,-1198358,164423078,25312,11299,36613,61,f39efe00,43.51537372765,-79.68397201794,166.0051,-37.1,SOL_COMPUTED,SINGLE,good,1.6689,1.6238,3.036,15,15,0.0,0.0,0,0,0,0,0,0,0,0,0,SPECTRUMANALYSIS,L5,1187.283,3.735,-54.772,-111.892
2026-05-25 09:17:35.630817,1779715055.630817,2420,134265.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2186914,-1188490,164384150,38198,2648,2803,61,f39dfe00,43.51537356984,-79.68397167703,165.959,-37.1,SOL_COMPUTED,SINGLE,good,1.6682,1.621,3.0313,15,15,0.0,0.0,0,0,0,0,0,0,0,0,0,SPECTRUMANALYSIS,L5,1187.649,2.417,-53.508,-107.901
2026-05-25 09:17:38.152885,1779715058.152885,2420,134266.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085127,-1311573,164360113,-100034,-397107,-62279,61,f39dfe00,43.51537333329,-79.68397097021,165.8755,-37.1,SOL_COMPUTED,SINGLE,good,1.6685,1.6236,3.0328,16,15,0.0,0.0,0,0,0,0,0,0,0,0,0,SPECTRUMANALYSIS,L5,1187.649,2.417,-53.508,-107.901
2026-05-25 09:17:40.682447,1779715060.682447,2420,134267.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2158237,-1405304,164288598,15718,53484,14884,61,f39cfe00,43.515373163,-79.68397007071,165.8194,-37.1,SOL_COMPUTED,SINGLE,good,1.6685,1.6255,3.0335,16,15,0.0,0.0,0,0,0,0,0,0,0,0,0,SPECTRUMANALYSIS,L5,1187.649,2.417,-53.508,-107.901
2026-05-25 09:17:43.518414,1779715063.518414,2420,134268.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246331,-1500178,164290966,-42265,-40403,-18168,61,f39bfe00,43.51537307279,-79.68396938164,165.7935,-37.1,SOL_COMPUTED,SINGLE,good,1.6683,1.6287,3.0341,16,15,0.0,0.0,0,0,0,0,0,0,0,0,0,SPECTRUMANALYSIS,L5,1188.601,4.028,-53.921,-108.796
2026-05-25 09:17:46.486405,1779715066.486405,2420,134269.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217108,-1305702,164334104,-20362,28128,47126,61,f399fe00,43.51537107157,-79.68360171395,191.7362,-37.1,SOL_COMPUTED,SINGLE,good,2.7501,1.9797,5.5475,16,7,0.0,0.0,0,0,0,0,0,0,0,0,0,SPECTRUMANALYSIS,L5,1188.601,4.028,-53.921,-108.796
2026-05-25 09:17:49.205613,1779715069.205613,2420,134270.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149697,-1244746,164309489,-31324,9440,32952,61,f398fe00,43.51537312667,-79.68396789986,165.8477,-37.1,SOL_COMPUTED,SINGLE,good,1.6684,1.63,3.034,15,15,0.0,0.0,0,0,0,0,0,0,0,0,0,SPECTRUMANALYSIS,L2,1226.084,2.051,-65.461,-126.925
2026-05-25 09:17:51.749693,1779715071.749693,2420,134271.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113732,-1297833,164259674,-57395,-55100,12920,61,f397fe00,43.51536793994,-79.68358762159,193.7028,-37.1,SOL_COMPUTED,SINGLE,good,2.7298,1.9223,5.3222,16,7,0.0,0.0,0,0,0,0,0,0,0,0,0,SPECTRUMANALYSIS,L2,1226.084,2.051,-65.461,-126.925
