sys_datetime,unix_timestamp,raw_accel_x_lsb,raw_accel_y_lsb,raw_accel_z_lsb,raw_gyro_x_lsb,raw_gyro_y_lsb,raw_gyro_z_lsb,raw_accel_x_ms2,raw_accel_y_ms2,raw_accel_z_ms2,raw_gyro_x_degs,raw_gyro_y_degs,raw_gyro_z_degs,imu_type,imu_status_hex,veh_lat_acc_ms2,veh_long_acc_ms2,veh_vert_acc_ms2,veh_pitch_rate_degs,veh_roll_rate_degs,veh_yaw_rate_degs
2026-05-26 15:21:52.153319,1779823312.153319,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.155118,1779823312.155118,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.157383,1779823312.157383,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.159195,1779823312.159195,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.160872,1779823312.160872,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.163046,1779823312.163046,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.165456,1779823312.165456,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.167818,1779823312.167818,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.169788,1779823312.169788,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.171839,1779823312.171839,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.174278,1779823312.174278,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.175960,1779823312.175960,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.180634,1779823312.180634,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.190510,1779823312.190510,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.200283,1779823312.200283,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.210497,1779823312.210497,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.220496,1779823312.220496,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.230096,1779823312.230096,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.240059,1779823312.240059,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.250150,1779823312.250150,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.260014,1779823312.260014,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.270412,1779823312.270412,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.279884,1779823312.279884,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.290301,1779823312.290301,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.300790,1779823312.300790,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.310590,1779823312.310590,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.320571,1779823312.320571,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.330157,1779823312.330157,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.354753,1779823312.354753,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.361241,1779823312.361241,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.375587,1779823312.375587,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.462622,1779823312.462622,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.472710,1779823312.472710,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.476591,1779823312.476591,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.478400,1779823312.478400,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.481002,1779823312.481002,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.482692,1779823312.482692,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.486035,1779823312.486035,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.488374,1779823312.488374,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26 15:21:52.491680,1779823312.491680,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
