sys_datetime,unix_timestamp,raw_accel_x_lsb,raw_accel_y_lsb,raw_accel_z_lsb,raw_gyro_x_lsb,raw_gyro_y_lsb,raw_gyro_z_lsb,imu_type,imu_status_hex,veh_lat_acc_ms2,veh_long_acc_ms2,veh_vert_acc_ms2,veh_pitch_rate_degs,veh_roll_rate_degs,veh_yaw_rate_degs
2026-05-25 09:59:38.098798,1779717578.098798,2802869,-3634266,164399813,19687,114707,-87045,61,ee5afe00,,,,,,
2026-05-25 09:59:38.109584,1779717578.109584,2802869,-3634266,164399813,19687,114707,-87045,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.116049,1779717578.116049,2868440,-3542056,164452996,25458,128823,-55705,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.123936,1779717578.123936,2868440,-3542056,164452996,25458,128823,-55705,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.129999,1779717578.129999,2599945,-3663926,164481213,129783,47179,-21183,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.137139,1779717578.137139,2599945,-3663926,164481213,129783,47179,-21183,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.146528,1779717578.146528,2600621,-3692461,164397249,105287,29217,9117,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.154186,1779717578.154186,2600621,-3692461,164397249,105287,29217,9117,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.159890,1779717578.159890,2429869,-3928990,164561245,82774,32500,-1766,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.167265,1779717578.167265,2429869,-3928990,164561245,82774,32500,-1766,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.173080,1779717578.173080,2555394,-3994191,164503611,100497,-118758,-9842,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.180339,1779717578.180339,2555394,-3994191,164503611,100497,-118758,-9842,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.186133,1779717578.186133,2769174,-4046867,164298768,92840,-99756,-25976,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.193637,1779717578.193637,2769174,-4046867,164298768,92840,-99756,-25976,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.203906,1779717578.203906,2977354,-3933181,164275108,97013,-89907,-35685,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.216573,1779717578.216573,2977354,-3933181,164275108,97013,-89907,-35685,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.226507,1779717578.226507,3179267,-3826318,164192859,96393,-35771,-37182,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.239296,1779717578.239296,3179267,-3826318,164192859,96393,-35771,-37182,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.249302,1779717578.249302,3242497,-3699129,164205795,73436,117718,560,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.261788,1779717578.261788,3242497,-3699129,164205795,73436,117718,560,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.271798,1779717578.271798,2963583,-3674992,164363334,70957,148256,23592,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.292748,1779717578.292748,2963583,-3674992,164363334,70957,148256,23592,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.299288,1779717578.299288,2850322,-3616201,164326463,79378,174912,3681,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.307682,1779717578.307682,2850322,-3616201,164326463,79378,174912,3681,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.353752,1779717578.353752,2527880,-3715340,164473475,58542,217022,-22069,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.371352,1779717578.371352,2527880,-3715340,164473475,58542,217022,-22069,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.380773,1779717578.380773,2517389,-3817838,164409216,107710,73906,-37765,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.391900,1779717578.391900,2517389,-3817838,164409216,107710,73906,-37765,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.402641,1779717578.402641,2696179,-3888837,164318985,46097,117720,-34652,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.413392,1779717578.413392,2696179,-3888837,164318985,46097,117720,-34652,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.423732,1779717578.423732,2867769,-3908471,164398956,68930,70207,-18901,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.434452,1779717578.434452,2867769,-3908471,164398956,68930,70207,-18901,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.443523,1779717578.443523,3077520,-3833836,164285295,101947,83222,13533,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.457819,1779717578.457819,3077520,-3833836,164285295,101947,83222,13533,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.470003,1779717578.470003,3030509,-3764465,164254614,96022,184877,15489,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.484966,1779717578.484966,3030509,-3764465,164254614,96022,184877,15489,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.492743,1779717578.492743,2804117,-3758393,164339208,108661,178691,47693,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.501805,1779717578.501805,2804117,-3758393,164339208,108661,178691,47693,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.510359,1779717578.510359,2665041,-3739914,164382796,90653,178025,46023,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.520672,1779717578.520672,2665041,-3739914,164382796,90653,178025,46023,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.528399,1779717578.528399,2450982,-3716504,164579820,83686,131209,44220,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.537229,1779717578.537229,2450982,-3716504,164579820,83686,131209,44220,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.545186,1779717578.545186,2438498,-3729102,164478172,102718,15266,17731,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.554518,1779717578.554518,2438498,-3729102,164478172,102718,15266,17731,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.562256,1779717578.562256,2469469,-3698593,164382139,40367,24836,11960,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.571042,1779717578.571042,2469469,-3698593,164382139,40367,24836,11960,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.578540,1779717578.578540,2529300,-3795075,164332554,-378,-33643,-12082,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.588350,1779717578.588350,2529300,-3795075,164332554,-378,-33643,-12082,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.596437,1779717578.596437,2928598,-3819045,164334939,1336,396,-16141,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.606160,1779717578.606160,2928598,-3819045,164334939,1336,396,-16141,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.614580,1779717578.614580,2959574,-3844460,164380565,58583,-42062,-27235,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.624644,1779717578.624644,2959574,-3844460,164380565,58583,-42062,-27235,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.632510,1779717578.632510,3139813,-3806246,164265736,134348,-46127,-2903,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.641990,1779717578.641990,3139813,-3806246,164265736,134348,-46127,-2903,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.650352,1779717578.650352,2865513,-3845982,164258323,145501,4656,6386,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.660748,1779717578.660748,2865513,-3845982,164258323,145501,4656,6386,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.668184,1779717578.668184,2858346,-3854573,164281638,95213,5152,-11509,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.676940,1779717578.676940,2858346,-3854573,164281638,95213,5152,-11509,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.684621,1779717578.684621,2660176,-3925476,164391989,53078,46060,-45130,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.694671,1779717578.694671,2660176,-3925476,164391989,53078,46060,-45130,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.703697,1779717578.703697,2747628,-3870225,164370348,35492,18977,-35193,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.714940,1779717578.714940,2747628,-3870225,164370348,35492,18977,-35193,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.723966,1779717578.723966,2736989,-3890639,164227848,8213,72735,-26595,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.734834,1779717578.734834,2736989,-3890639,164227848,8213,72735,-26595,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.743794,1779717578.743794,2974618,-3808299,164278114,-38255,132766,-27020,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.754597,1779717578.754597,2974618,-3808299,164278114,-38255,132766,-27020,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.761960,1779717578.761960,2977655,-3865425,164259956,-873,159784,6374,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.770605,1779717578.770605,2977655,-3865425,164259956,-873,159784,6374,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.778488,1779717578.778488,3081536,-3701736,164376694,17299,200364,-9129,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.787179,1779717578.787179,3081536,-3701736,164376694,17299,200364,-9129,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.794676,1779717578.794676,2764342,-3714490,164481513,40749,162271,20526,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.803948,1779717578.803948,2764342,-3714490,164481513,40749,162271,20526,61,ee59fe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.811365,1779717578.811365,2701126,-3583771,164485596,39441,155757,15219,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.820910,1779717578.820910,2701126,-3583771,164485596,39441,155757,15219,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.828317,1779717578.828317,2323285,-3663060,164501438,22267,147029,11588,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.836907,1779717578.836907,2323285,-3663060,164501438,22267,147029,11588,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.844793,1779717578.844793,2467792,-3651321,164543790,22009,81758,-1234,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.854080,1779717578.854080,2467792,-3651321,164543790,22009,81758,-1234,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.861748,1779717578.861748,2501887,-3780456,164491020,24205,29102,-32429,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.871382,1779717578.871382,2501887,-3780456,164491020,24205,29102,-32429,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.881356,1779717578.881356,2673654,-3760858,164403251,50581,-57164,-15914,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.891091,1779717578.891091,2673654,-3760858,164403251,50581,-57164,-15914,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25 09:59:38.898745,1779717578.898745,2797734,-3851652,164275196,39639,-27707,-14479,61,ee5afe00,0.0,0.0,0.0,0.0,0.0,0.0
