sys_datetime,unix_timestamp,gps_week,gps_seconds,ins_status,pose_quality,ins_lat,ins_lon,ins_height_m,ins_undulation_m,roll_deg,pitch_deg,azimuth_deg,roll_sig_deg,pitch_sig_deg,azimuth_sig_deg,vel_n_ms,vel_e_ms,vel_u_ms,speed_2d_ms,vel_n_sig_ms,vel_e_sig_ms,vel_u_sig_ms,veh_lat_acc_ms2,veh_long_acc_ms2,veh_vert_acc_ms2,veh_pitch_rate_degs,veh_roll_rate_degs,veh_yaw_rate_degs,veh_pitch_rate_rads,veh_roll_rate_rads,veh_yaw_rate_rads,raw_accel_x_lsb,raw_accel_y_lsb,raw_accel_z_lsb,raw_gyro_x_lsb,raw_gyro_y_lsb,raw_gyro_z_lsb,imu_type,imu_status_hex,gnss_lat,gnss_lon,gnss_height_m,gnss_undulation_m,gnss_sol_status,gnss_pos_type,gnss_sol_quality,gnss_lat_sig_m,gnss_lon_sig_m,gnss_height_sig_m,gnss_num_svs,gnss_num_used,gnss_diff_age_s,gnss_sol_age_s,ext_pos_update,ext_vel_update,ext_att_update,ext_phase_update,ext_zero_vel,ext_wheel_sensor,ext_heading_update,ext_ins_enabled,ext_heading_align,spec_analysis_type,spec_band_id,spec_center_freq_hz,spec_bandwidth_hz,spec_power_dbm,spec_noise_dbm
2026-05-25 08:38:37.203639,1779712717.203639,2420,131920.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319012,-1583483,164312375,39691,-18962,88529,61,0ca7fe00,43.5153387436,-79.68389153629,185.9181,-37.1,SOL_COMPUTED,SINGLE,good,2.2702,2.0588,3.9987,13,8,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-25 08:38:37.425156,1779712717.425156,2420,131921.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085528,-1788987,164287103,26290,-149449,93592,61,0ca2fe00,43.51533864535,-79.68388983618,186.2268,-37.1,SOL_COMPUTED,SINGLE,good,2.2717,2.0594,4.0053,14,8,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-25 08:38:37.663173,1779712717.663173,2420,131935.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805340,-1685392,163977760,72651,-37396,86214,61,0c57fe00,43.51531166755,-79.68385526471,183.5406,-37.1,SOL_COMPUTED,SINGLE,good,2.0216,2.0583,3.5585,16,10,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-25 08:38:37.900325,1779712717.900325,2420,131936.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097746,-1807057,164294284,127342,223018,106115,61,0c51fe00,43.5153107234,-79.68385157623,183.6502,-37.1,SOL_COMPUTED,SINGLE,good,2.03,2.0578,3.5764,16,10,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-25 08:38:38.611215,1779712718.611215,2420,131937.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2090614,-1505562,164219053,437,-89554,86139,61,0c4cfe00,43.51531480701,-79.68384736019,184.7383,-37.1,SOL_COMPUTED,SINGLE,good,2.0242,2.0561,3.5651,16,10,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-25 08:38:39.606713,1779712719.606713,2420,131938.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2215258,-1787194,164360703,29800,-209561,11302,61,0c46fe00,43.51532064738,-79.68384232999,186.2131,-37.1,SOL_COMPUTED,SINGLE,good,2.0181,2.0547,3.5557,16,10,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-25 08:38:40.608093,1779712720.608093,2420,131939.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1688431,-1704436,163954715,16898,-52792,81009,61,0c41fe00,43.51539291249,-79.68395101765,175.9521,-37.1,SOL_COMPUTED,SINGLE,good,1.5861,1.5109,3.1887,16,11,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-25 08:38:41.607772,1779712721.607772,2420,131940.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268929,-1519133,164289353,13638,19701,93632,61,0c3bfe00,43.51538773703,-79.68394869852,174.9696,-37.1,SOL_COMPUTED,SINGLE,good,1.5769,1.5138,3.1799,16,11,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-25 08:38:42.608577,1779712722.608577,2420,131941.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2545478,-1813353,164927338,71578,-129945,64658,61,0c35fe00,43.51538228908,-79.68394562033,174.0141,-37.1,SOL_COMPUTED,SINGLE,good,1.5769,1.5115,3.178,16,11,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
2026-05-25 08:38:43.607156,1779712723.607156,2420,131942.0,,,,,,,,,,,,,,,,0.0000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241846,-1762231,164318148,10627,-16654,60601,61,0c30fe00,43.51537989466,-79.68394278753,173.5835,-37.1,SOL_COMPUTED,SINGLE,good,1.5789,1.5126,3.1797,16,11,0.0,0.0,0,0,0,0,0,0,0,0,0,—,—,0.0,0.0,0.0,0.0
