sys_datetime,unix_timestamp,raw_accel_x_lsb,raw_accel_y_lsb,raw_accel_z_lsb,raw_gyro_x_lsb,raw_gyro_y_lsb,raw_gyro_z_lsb,imu_type,imu_status_hex,veh_lat_acc_ms2,veh_long_acc_ms2,veh_vert_acc_ms2,veh_pitch_rate_degs,veh_roll_rate_degs,veh_yaw_rate_degs
2026-05-22 17:15:01.136173,1779484501.136173,744575,-1241364,163319581,-2788337,-43539,135104,61,0709fe00,,,,,,
2026-05-22 17:15:01.137965,1779484501.137965,744575,-1241364,163319581,-2788337,-43539,135104,61,0709fe00,,,,,,
2026-05-22 17:15:01.139295,1779484501.139295,1065691,-1397205,163158373,-2642615,-56933,97239,61,0709fe00,,,,,,
2026-05-22 17:15:01.140519,1779484501.140519,610354,-1417343,164293173,-2651106,220826,33266,61,0709fe00,,,,,,
2026-05-22 17:15:01.141844,1779484501.141844,732303,-1894328,165017498,-2592676,-34609,-38009,61,0709fe00,,,,,,
2026-05-22 17:15:01.143244,1779484501.143244,933509,-2639895,163868828,-2552211,-81191,-100701,61,0709fe00,,,,,,
2026-05-22 17:15:01.144464,1779484501.144464,870368,-2997403,163738049,-2295296,52705,-117344,61,0709fe00,,,,,,
2026-05-22 17:15:01.145798,1779484501.145798,420930,-3261320,165432600,-2128744,161533,-142412,61,0709fe00,,,,,,
2026-05-22 17:15:01.147153,1779484501.147153,467501,-3251908,165728881,-2144227,-110763,-185599,61,0709fe00,,,,,,
2026-05-22 17:15:01.149038,1779484501.149038,988353,-3405604,164414208,-1974460,-298163,-238334,61,0709fe00,,,,,,
2026-05-22 17:15:01.150349,1779484501.150349,1128211,-3710761,164992808,-1753099,8398,-294251,61,0709fe00,,,,,,
2026-05-22 17:15:01.151674,1779484501.151674,990791,-3724599,165871603,-1634861,45214,-302852,61,0709fe00,,,,,,
2026-05-22 17:15:01.153020,1779484501.153020,824897,-4317284,165553099,-1560467,-245817,-319661,61,0709fe00,,,,,,
2026-05-22 17:15:01.154554,1779484501.154554,1074581,-4354288,164718453,-1452630,-258195,-308672,61,0709fe00,,,,,,
2026-05-22 17:15:01.155811,1779484501.155811,1386745,-4478277,164908712,-1083336,179644,-294724,61,0709fe00,,,,,,
2026-05-22 17:15:01.157437,1779484501.157437,1190053,-4309935,165627079,-930136,119568,-267444,61,0709fe00,,,,,,
2026-05-22 17:15:01.158706,1779484501.158706,927895,-4216935,165199166,-787600,-13229,-272473,61,0709fe00,,,,,,
2026-05-22 17:15:01.159838,1779484501.159838,279773,-4291547,164460716,-517822,185860,-216801,61,0709fe00,,,,,,
2026-05-22 17:15:01.161059,1779484501.161059,74290,-4125316,164697386,-395505,178338,-200890,61,0709fe00,,,,,,
2026-05-22 17:15:01.162197,1779484501.162197,163684,-4094254,165057931,-207405,252437,-132137,61,0708fe00,,,,,,
2026-05-22 17:15:01.163215,1779484501.163215,247641,-3840028,164430310,-19749,61320,-45749,61,0708fe00,,,,,,
2026-05-22 17:15:01.164278,1779484501.164278,90284,-3309132,164577116,243014,285600,68613,61,0708fe00,,,,,,
2026-05-22 17:15:01.165637,1779484501.165637,-159750,-3247494,165019679,365884,214239,96058,61,0708fe00,,,,,,
2026-05-22 17:15:01.166783,1779484501.166783,-126941,-3191196,165294225,547278,226016,146185,61,0708fe00,,,,,,
2026-05-22 17:15:01.167894,1779484501.167894,55161,-3118205,163805231,747110,15096,188897,61,0708fe00,,,,,,
2026-05-22 17:15:01.169001,1779484501.169001,370567,-2615631,163580177,1003719,348109,242176,61,0708fe00,,,,,,
2026-05-22 17:15:01.170230,1779484501.170230,-46446,-1899704,164599976,1118666,314264,278943,61,0708fe00,,,,,,
2026-05-22 17:15:01.172082,1779484501.172082,-502338,-1077825,164262559,1124344,189001,357321,61,0708fe00,,,,,,
2026-05-22 17:15:01.173854,1779484501.173854,-598396,-503821,163905767,1230284,184306,406111,61,0708fe00,,,,,,
2026-05-22 17:15:01.175342,1779484501.175342,-969516,-83203,164261295,1248008,310584,406383,61,0708fe00,,,,,,
2026-05-22 17:15:01.176730,1779484501.176730,-690292,370405,164328285,1151480,206038,381258,61,0708fe00,,,,,,
2026-05-22 17:15:01.178031,1779484501.178031,-634911,790811,163401877,1036151,207298,369727,61,0708fe00,,,,,,
2026-05-22 17:15:01.179272,1779484501.179272,-675854,1149272,163769002,905900,405677,399670,61,0708fe00,,,,,,
2026-05-22 17:15:01.180464,1779484501.180464,-930977,1273119,164389155,797118,464501,400325,61,0708fe00,,,,,,
2026-05-22 17:15:01.181769,1779484501.181769,-1017745,1393435,165205801,691740,327560,407074,61,0708fe00,,,,,,
2026-05-22 17:15:01.183271,1779484501.183271,-832076,1133093,164312632,504842,139929,388510,61,0708fe00,,,,,,
2026-05-22 17:15:01.184962,1779484501.184962,-452384,1121866,163628161,479366,291933,344066,61,0708fe00,,,,,,
2026-05-22 17:15:01.186156,1779484501.186156,-947599,1127261,164585766,392508,442904,301132,61,0708fe00,,,,,,
2026-05-22 17:15:01.187296,1779484501.187296,-1155069,1090924,165284901,227527,329447,244646,61,0708fe00,,,,,,
2026-05-22 17:15:01.188368,1779484501.188368,-1449765,992104,164463121,112579,93731,211789,61,0708fe00,,,,,,
2026-05-22 17:15:01.189524,1779484501.189524,-1755217,838717,164519685,96055,272654,120804,61,0708fe00,,,,,,
2026-05-22 17:15:01.190764,1779484501.190764,-1674245,780083,164870530,101124,192435,87262,61,0708fe00,,,,,,
2026-05-22 17:15:01.192197,1779484501.192197,-1577031,746398,164127752,-25682,71448,-24940,61,0708fe00,,,,,,
2026-05-22 17:15:01.193424,1779484501.193424,-1491895,852556,164100110,-90216,60415,-46891,61,0708fe00,,,,,,
2026-05-22 17:15:01.194731,1779484501.194731,-1920009,736632,164745551,-243659,90811,-70150,61,0708fe00,,,,,,
2026-05-22 17:15:01.195993,1779484501.195993,-1593269,511870,164577635,-378379,-17295,-105140,61,0708fe00,,,,,,
2026-05-22 17:15:01.197143,1779484501.197143,-1294142,187478,163107914,-460267,-195484,-125458,61,0708fe00,,,,,,
2026-05-22 17:15:01.198181,1779484501.198181,-1143341,174768,163229974,-490687,129764,-131941,61,0708fe00,,,,,,
2026-05-22 17:15:01.199174,1779484501.199174,-1531879,37073,164036512,-554925,211000,-135061,61,0708fe00,,,,,,
2026-05-22 17:15:01.200146,1779484501.200146,-1782332,-215064,164972016,-699023,-21270,-119040,61,0708fe00,,,,,,
2026-05-22 17:15:01.201121,1779484501.201121,-1646293,-859611,163825374,-874471,-174501,-101812,61,0708fe00,,,,,,
