[10:00:00.913098] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2882215 Ay:-3702612 Az:164339897 Gx:69040 Gy:23570 Gz:-10210 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153663,-79.6838849 σLat:1.5361m σLon:1.5066m SVs:14/14 SOL_COMPUTED SINGLE
[10:00:02.492408] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2812581 Ay:-3751799 Az:164298586 Gx:33542 Gy:108521 Gz:-17884 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153662,-79.6838848 σLat:1.5369m σLon:1.5115m SVs:14/14 SOL_COMPUTED SINGLE
[10:00:04.073602] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2761806 Ay:-3745812 Az:164377510 Gx:63352 Gy:63250 Gz:-23855 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153690,-79.6838787 σLat:1.5309m σLon:1.4604m SVs:15/15 SOL_COMPUTED SINGLE
[10:00:04.846812] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:36531979 Ay:-3886602 Az:158901155 Gx:-5143551 Gy:-257247053 Gz:-2092301 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153693,-79.6838755 σLat:1.5221m σLon:1.4654m SVs:15/15 SOL_COMPUTED SINGLE
[10:00:06.197519] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:26929109 Ay:-4131868 Az:163096135 Gx:4776692 Gy:219025115 Gz:3265042 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153692,-79.6838771 σLat:1.5226m σLon:1.4619m SVs:15/15 SOL_COMPUTED SINGLE
[10:00:07.014041] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:46596100 Ay:-6322144 Az:154891315 Gx:-709200 Gy:56184441 Gz:-7751035 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153685,-79.6838732 σLat:1.5215m σLon:1.4835m SVs:15/15 SOL_COMPUTED SINGLE
[10:00:07.312731] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:20004052 Ay:73391604 Az:138059673 Gx:-92399832 Gy:-16711515 Gz:-5424068 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153667,-79.6838552 σLat:1.5236m σLon:1.5950m SVs:14/14 SOL_COMPUTED SINGLE
[10:00:07.652911] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:16262296 Ay:55244714 Az:146487586 Gx:190730899 Gy:38852317 Gz:4192069 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153668,-79.6838552 σLat:1.5228m σLon:1.5913m SVs:14/14 SOL_COMPUTED SINGLE
[10:00:07.958511] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:29447579 Ay:-1613332 Az:186440074 Gx:-120817083 Gy:-22684307 Gz:5099252 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153663,-79.6838575 σLat:1.5228m σLon:1.5886m SVs:14/14 SOL_COMPUTED SINGLE
[10:00:08.935909] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:28496049 Ay:-16224781 Az:201012618 Gx:169647723 Gy:87715577 Gz:19155518 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153664,-79.6838572 σLat:1.5238m σLon:1.5891m SVs:14/14 SOL_COMPUTED SINGLE
