[08:45:59.370880] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:1996698 Ay:-1128768 Az:164134420 Gx:15605 Gy:-212187 Gz:63332 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153955,-79.6839641 σLat:1.4540m σLon:1.6641m SVs:16/13 SOL_COMPUTED SINGLE
[08:45:59.799472] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2201724 Ay:-1912933 Az:164283282 Gx:-63507 Gy:134665 Gz:188805 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153957,-79.6839644 σLat:1.4522m σLon:1.6622m SVs:16/13 SOL_COMPUTED SINGLE
[08:46:00.965719] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:4983875 Ay:-1723486 Az:164311413 Gx:49765 Gy:-162836 Gz:16129 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154845,-79.6839576 σLat:1.5495m σLon:1.4918m SVs:15/13 SOL_COMPUTED SINGLE
[08:46:01.755182] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:5122435 Ay:-1689149 Az:164340444 Gx:8597 Gy:66870 Gz:40153 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154539,-79.6839754 σLat:1.6955m σLon:1.5535m SVs:15/12 SOL_COMPUTED SINGLE
[08:46:02.448068] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:5169517 Ay:-1687507 Az:164322323 Gx:35891 Gy:-44019 Gz:39708 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154509,-79.6839761 σLat:1.6912m σLon:1.5370m SVs:15/12 SOL_COMPUTED SINGLE
[08:46:03.238609] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-76254626 Ay:-59721 Az:125748711 Gx:-549042 Gy:-41339670 Gz:-136249 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154490,-79.6839800 σLat:1.6884m σLon:1.5268m SVs:15/12 SOL_COMPUTED SINGLE
[08:46:03.925736] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3996683 Ay:-1673489 Az:163450917 Gx:-15066 Gy:131424 Gz:321505 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154460,-79.6839801 σLat:1.6972m σLon:1.5323m SVs:15/12 SOL_COMPUTED SINGLE
[08:46:04.617471] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:4766975 Ay:-1311929 Az:164193439 Gx:54258 Gy:-491211 Gz:-79860 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154466,-79.6839765 σLat:1.6855m σLon:1.5226m SVs:15/12 SOL_COMPUTED SINGLE
[08:46:05.643679] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:5142949 Ay:-1494882 Az:164380553 Gx:3781 Gy:-72608 Gz:61073 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154409,-79.6839686 σLat:1.6716m σLon:1.5057m SVs:16/13 SOL_COMPUTED SINGLE
[08:46:06.635668] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:5007961 Ay:-1442341 Az:164338289 Gx:-1965 Gy:-6757 Gz:97180 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154389,-79.6839685 σLat:1.6655m σLon:1.5032m SVs:16/13 SOL_COMPUTED SINGLE
[08:46:07.638878] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:5036702 Ay:-1533319 Az:164365599 Gx:60013 Gy:-21895 Gz:86905 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154407,-79.6839701 σLat:1.6883m σLon:1.5153m SVs:16/13 SOL_COMPUTED SINGLE
