sys_datetime,unix_timestamp,raw_accel_x_lsb,raw_accel_y_lsb,raw_accel_z_lsb,raw_gyro_x_lsb,raw_gyro_y_lsb,raw_gyro_z_lsb,imu_type,imu_status_hex,veh_lat_acc_ms2,veh_long_acc_ms2,veh_vert_acc_ms2,veh_pitch_rate_degs,veh_roll_rate_degs,veh_yaw_rate_degs
2026-05-25 08:38:18.236642,1779712698.236642,2027654,-1749203,164514152,17337,-36088,83562,61,0d9bfe00,,,,,,
2026-05-25 08:38:18.237198,1779712698.237198,1941600,-1874789,164475503,91448,-52634,268961,61,0d9bfe00,,,,,,
2026-05-25 08:38:18.237746,1779712698.237746,2364297,-1539585,164405336,125947,15924,205431,61,0d9afe00,,,,,,
2026-05-25 08:38:18.238302,1779712698.238302,1790764,-1707528,164205895,104201,-20883,192250,61,0d9afe00,,,,,,
2026-05-25 08:38:18.238821,1779712698.238821,2412599,-1152138,164024325,-36492,-31837,92295,61,0d9afe00,,,,,,
2026-05-25 08:38:18.239370,1779712698.239370,1583274,-1901478,164354946,-16325,-84885,105096,61,0d9afe00,,,,,,
2026-05-25 08:38:18.239938,1779712698.239938,2521340,-1362163,164323785,-10739,-118677,98222,61,0d9afe00,,,,,,
2026-05-25 08:38:18.240464,1779712698.240464,1929040,-2031967,164325290,53475,-45088,61911,61,0d9afe00,,,,,,
2026-05-25 08:38:18.240980,1779712698.240980,2613873,-1233803,164478843,56752,-29080,143839,61,0d9afe00,,,,,,
2026-05-25 08:38:18.241521,1779712698.241521,1912267,-1887848,164173439,39463,-2114,81978,61,0d9afe00,,,,,,
2026-05-25 08:38:18.242057,1779712698.242057,2137183,-1293982,164351987,-51571,-156921,117559,61,0d9afe00,,,,,,
2026-05-25 08:38:18.242593,1779712698.242593,1982055,-1726441,164137893,-92705,-220413,-11419,61,0d9afe00,,,,,,
2026-05-25 08:38:18.243118,1779712698.243118,1970062,-1304818,164177614,-153034,-369786,-61339,61,0d9afe00,,,,,,
2026-05-25 08:38:18.243656,1779712698.243656,2059916,-1939437,164335176,-103400,-205763,-36053,61,0d9afe00,,,,,,
2026-05-25 08:38:18.244187,1779712698.244187,2039586,-1567143,164292677,-19626,-262471,-1614,61,0d9afe00,,,,,,
2026-05-25 08:38:18.244710,1779712698.244710,2288510,-2250648,164550684,-41745,-206263,41733,61,0d9afe00,,,,,,
2026-05-25 08:38:18.245233,1779712698.245233,2241381,-1531858,164160469,-34001,-178839,80212,61,0d99fe00,,,,,,
2026-05-25 08:38:18.245781,1779712698.245781,2321037,-2131475,164573449,-73506,-171999,107482,61,0d9afe00,,,,,,
2026-05-25 08:38:18.246297,1779712698.246297,2134307,-1418965,164251440,31712,-43001,83494,61,0d9afe00,,,,,,
2026-05-25 08:38:18.246809,1779712698.246809,2295782,-1884037,164339442,19811,-134221,62945,61,0d9afe00,,,,,,
2026-05-25 08:38:18.247322,1779712698.247322,2079298,-1284283,164220981,72377,-22833,72734,61,0d9afe00,,,,,,
2026-05-25 08:38:18.247836,1779712698.247836,2216039,-1750561,164292211,-6327,-143067,78759,61,0d9afe00,,,,,,
2026-05-25 08:38:18.248347,1779712698.248347,2000793,-1358229,164379728,24097,-43970,62877,61,0d99fe00,,,,,,
2026-05-25 08:38:18.248864,1779712698.248864,2079522,-1737855,164300202,-23136,-154082,71527,61,0d99fe00,,,,,,
2026-05-25 08:38:18.249384,1779712698.249384,2121031,-1472369,164253914,21948,-47237,85521,61,0d99fe00,,,,,,
2026-05-25 08:38:18.249902,1779712698.249902,2138146,-1828107,164332751,20312,-157430,63472,61,0d99fe00,,,,,,
2026-05-25 08:38:18.250428,1779712698.250428,2122163,-1666934,164293587,55577,-57478,98598,61,0d99fe00,,,,,,
