sys_datetime,unix_timestamp,raw_accel_x_lsb,raw_accel_y_lsb,raw_accel_z_lsb,raw_gyro_x_lsb,raw_gyro_y_lsb,raw_gyro_z_lsb,imu_type,imu_status_hex,veh_lat_acc_ms2,veh_long_acc_ms2,veh_vert_acc_ms2,veh_pitch_rate_degs,veh_roll_rate_degs,veh_yaw_rate_degs
2026-05-22 16:29:35.966228,1779481775.966228,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.967791,1779481775.967791,-363306,-160489,164359275,61321,66438,-34915,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.969599,1779481775.969599,-363306,-160489,164359275,61321,66438,-34915,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.970976,1779481775.970976,-359276,-154837,164387047,61339,57186,-40794,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.972342,1779481775.972342,-359276,-154837,164387047,61339,57186,-40794,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.973212,1779481775.973212,-364907,-152361,164408107,43239,67059,-10349,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.975983,1779481775.975983,-364907,-152361,164408107,43239,67059,-10349,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.977594,1779481775.977594,-367769,-104553,164417474,43942,58320,-24453,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.978324,1779481775.978324,-367769,-104553,164417474,43942,58320,-24453,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.978891,1779481775.978891,-310926,-104831,164454972,44295,69537,-30575,61,eaecfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.979584,1779481775.979584,-310926,-104831,164454972,44295,69537,-30575,61,eaecfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.980165,1779481775.980165,-272017,-81582,164415263,47978,38971,-52943,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.980932,1779481775.980932,-272017,-81582,164415263,47978,38971,-52943,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.981624,1779481775.981624,-266570,-93622,164413960,65536,64134,-67720,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.982430,1779481775.982430,-266570,-93622,164413960,65536,64134,-67720,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.983079,1779481775.983079,-299039,-105749,164377061,69784,65174,-46234,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.983881,1779481775.983881,-299039,-105749,164377061,69784,65174,-46234,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.984543,1779481775.984543,-322696,-118591,164361642,61011,77200,-34679,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.985347,1779481775.985347,-322696,-118591,164361642,61011,77200,-34679,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.985995,1779481775.985995,-339893,-132321,164362208,59017,63761,-29093,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.986816,1779481775.986816,-339893,-132321,164362208,59017,63761,-29093,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.987462,1779481775.987462,-312533,-165414,164361503,44342,40660,-39145,61,eaecfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.988266,1779481775.988266,-312533,-165414,164361503,44342,40660,-39145,61,eaecfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.988920,1779481775.988920,-304193,-128863,164430612,50178,30451,-44145,61,eaecfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.989750,1779481775.989750,-304193,-128863,164430612,50178,30451,-44145,61,eaecfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.990470,1779481775.990470,-276488,-131995,164432713,68164,34865,-58007,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.992282,1779481775.992282,-276488,-131995,164432713,68164,34865,-58007,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.993000,1779481775.993000,-312825,-127725,164431910,86020,38593,-49475,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.993816,1779481775.993816,-312825,-127725,164431910,86020,38593,-49475,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.994485,1779481775.994485,-284263,-161359,164465488,119224,73040,-49356,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.995300,1779481775.995300,-284263,-161359,164465488,119224,73040,-49356,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.995960,1779481775.995960,-295311,-169243,164446508,116887,72734,-34896,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.996792,1779481775.996792,-295311,-169243,164446508,116887,72734,-34896,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.997464,1779481775.997464,-312068,-148099,164446886,106237,72766,-31766,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.998328,1779481775.998328,-312068,-148099,164446886,106237,72766,-31766,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.998979,1779481775.998979,-313522,-152673,164392570,82692,62502,-21244,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:35.999779,1779481775.999779,-313522,-152673,164392570,82692,62502,-21244,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:36.000423,1779481776.000423,-306687,-154985,164337211,66598,59818,-16926,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:36.001220,1779481776.001220,-306687,-154985,164337211,66598,59818,-16926,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:36.001862,1779481776.001862,-291097,-214533,164343526,64507,50119,-21359,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:36.002665,1779481776.002665,-291097,-214533,164343526,64507,50119,-21359,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:36.003320,1779481776.003320,-280046,-218084,164342460,63109,50749,-34653,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22 16:29:36.004118,1779481776.004118,-280046,-218084,164342460,63109,50749,-34653,61,eaebfe00,0.0,0.0,0.0,0.0,0.0,0.0
