# Session started 2026-05-22T16:23:33.483481
# [UTC] Fusion Fix | Accel(m/s²) X Y Z  Gyro(°/s) X Y Z | Veh(m/s²) X Y Z  Hdg(°) | Spd(m/s) VelN VelE VelD | Lat Lon | hAcc vAcc | HDOP VDOP PDOP | NAV-ATT Roll Pitch Hdg
[20:23:34.440000] — Fix:3D | Accel(m/s²) X:-0.1475 Y:+0.1852 Z:+9.9723  Gyro(°/s) X:-0.1720 Y:+0.0049 Z:-0.0876 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.022m/s VN:+0.021 VE:+0.006 VD:+0.017 | Lat:43.515354 Lon:-79.683962 | hAcc:0.637m vAcc:0.844m | HDOP:0.84 VDOP:1.08 PDOP:1.37 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
# Session started 2026-05-22T16:23:49.491285
# [UTC] Fusion Fix | Accel(m/s²) X Y Z  Gyro(°/s) X Y Z | Veh(m/s²) X Y Z  Hdg(°) | Spd(m/s) VelN VelE VelD | Lat Lon | hAcc vAcc | HDOP VDOP PDOP | NAV-ATT Roll Pitch Hdg
[20:23:50.440000] — Fix:3D | Accel(m/s²) X:-0.1564 Y:+0.1820 Z:+9.9725  Gyro(°/s) X:-0.2985 Y:-0.0452 Z:-0.0950 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.017m/s VN:-0.001 VE:+0.017 VD:+0.002 | Lat:43.515354 Lon:-79.683956 | hAcc:0.604m vAcc:0.912m | HDOP:0.86 VDOP:1.2 PDOP:1.48 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:51.430000] — Fix:3D | Accel(m/s²) X:-0.1434 Y:+0.1682 Z:+9.9653  Gyro(°/s) X:-0.1909 Y:+0.0071 Z:-0.0872 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.020m/s VN:+0.015 VE:+0.013 VD:+0.005 | Lat:43.515354 Lon:-79.683956 | hAcc:0.604m vAcc:0.915m | HDOP:0.86 VDOP:1.2 PDOP:1.48 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:52.360000] — Fix:3D | Accel(m/s²) X:-0.1490 Y:+0.1634 Z:+9.9658  Gyro(°/s) X:-0.2059 Y:+0.0063 Z:-0.0855 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.003m/s VN:-0.001 VE:+0.003 VD:+0.003 | Lat:43.515354 Lon:-79.683956 | hAcc:0.606m vAcc:0.92m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:53.450000] — Fix:3D | Accel(m/s²) X:-0.1440 Y:+0.1789 Z:+9.9730  Gyro(°/s) X:-0.2050 Y:+0.0009 Z:-0.0974 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.010m/s VN:-0.008 VE:-0.007 VD:+0.000 | Lat:43.515355 Lon:-79.683956 | hAcc:0.606m vAcc:0.922m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:54.440000] Initializing Fix:3D | Accel(m/s²) X:-0.1467 Y:+0.1596 Z:+9.9620  Gyro(°/s) X:-0.2058 Y:-0.0002 Z:-0.0786 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.008m/s VN:+0.003 VE:-0.008 VD:-0.002 | Lat:43.515356 Lon:-79.683957 | hAcc:0.612m vAcc:0.93m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:55.430000] Initializing Fix:3D | Accel(m/s²) X:-0.1456 Y:+0.1752 Z:+9.9714  Gyro(°/s) X:-0.1674 Y:+0.0024 Z:-0.0864 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.026m/s VN:+0.024 VE:-0.008 VD:-0.008 | Lat:43.515357 Lon:-79.683957 | hAcc:0.614m vAcc:0.935m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:56.420000] Initializing Fix:3D | Accel(m/s²) X:-0.1472 Y:+0.1593 Z:+9.9593  Gyro(°/s) X:-0.1825 Y:+0.0248 Z:-0.0927 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.023m/s VN:+0.017 VE:-0.015 VD:-0.008 | Lat:43.515358 Lon:-79.683958 | hAcc:0.615m vAcc:0.937m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:57.370000] Initializing Fix:3D | Accel(m/s²) X:-0.1460 Y:+0.1752 Z:+9.9703  Gyro(°/s) X:-0.1980 Y:-0.0041 Z:-0.0889 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.038m/s VN:+0.035 VE:-0.016 VD:-0.007 | Lat:43.515359 Lon:-79.683958 | hAcc:0.615m vAcc:0.938m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:58.460000] Initializing Fix:3D | Accel(m/s²) X:-0.1487 Y:+0.1734 Z:+9.9658  Gyro(°/s) X:-0.2059 Y:-0.0126 Z:-0.0905 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.013m/s VN:+0.013 VE:+0.002 VD:-0.006 | Lat:43.515360 Lon:-79.683959 | hAcc:0.616m vAcc:0.938m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:23:59.450000] Initializing Fix:3D | Accel(m/s²) X:-0.1495 Y:+0.1741 Z:+9.9678  Gyro(°/s) X:-0.1824 Y:+0.0039 Z:-0.0880 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.019m/s VN:+0.017 VE:+0.008 VD:+0.000 | Lat:43.515360 Lon:-79.683959 | hAcc:0.616m vAcc:0.938m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:00.470000] Initializing Fix:3D | Accel(m/s²) X:-0.1474 Y:+0.1799 Z:+9.9696  Gyro(°/s) X:-0.1992 Y:-0.0107 Z:-0.1058 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.011m/s VN:+0.009 VE:+0.006 VD:+0.007 | Lat:43.515361 Lon:-79.683959 | hAcc:0.617m vAcc:0.939m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:01.460000] Initializing Fix:3D | Accel(m/s²) X:-0.1520 Y:+0.1754 Z:+9.9664  Gyro(°/s) X:-0.1855 Y:+0.0016 Z:-0.0917 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.025m/s VN:-0.018 VE:-0.017 VD:+0.008 | Lat:43.515361 Lon:-79.683959 | hAcc:0.617m vAcc:0.942m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:02.490000] Initializing Fix:3D | Accel(m/s²) X:-0.1477 Y:+0.1746 Z:+9.9688  Gyro(°/s) X:-0.1995 Y:+0.0062 Z:-0.0883 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.027m/s VN:-0.023 VE:-0.015 VD:+0.004 | Lat:43.515361 Lon:-79.683959 | hAcc:0.617m vAcc:0.944m | HDOP:0.77 VDOP:0.96 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:03.480000] Initializing Fix:3D | Accel(m/s²) X:-0.1483 Y:+0.1773 Z:+9.9691  Gyro(°/s) X:-0.1775 Y:+0.0065 Z:-0.0903 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.016m/s VN:-0.006 VE:-0.015 VD:+0.007 | Lat:43.515361 Lon:-79.683960 | hAcc:0.617m vAcc:0.946m | HDOP:0.77 VDOP:0.96 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:04.500000] Initializing Fix:3D | Accel(m/s²) X:-0.1458 Y:+0.1738 Z:+9.9663  Gyro(°/s) X:-0.2064 Y:+0.0098 Z:-0.0880 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.003m/s VN:-0.003 VE:-0.002 VD:+0.009 | Lat:43.515361 Lon:-79.683960 | hAcc:0.619m vAcc:0.952m | HDOP:0.81 VDOP:1.09 PDOP:1.36 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:05.490000] Initializing Fix:3D | Accel(m/s²) X:-0.1454 Y:+0.1778 Z:+9.9691  Gyro(°/s) X:-0.2080 Y:-0.0026 Z:-0.0884 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.002m/s VN:-0.001 VE:-0.002 VD:+0.009 | Lat:43.515361 Lon:-79.683960 | hAcc:0.619m vAcc:0.955m | HDOP:0.77 VDOP:0.96 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:06.510000] Initializing Fix:3D | Accel(m/s²) X:-0.1549 Y:+0.1797 Z:+9.9706  Gyro(°/s) X:-0.1988 Y:-0.0079 Z:-0.0918 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.017m/s VN:-0.017 VE:-0.002 VD:+0.007 | Lat:43.515361 Lon:-79.683960 | hAcc:0.62m vAcc:0.957m | HDOP:0.77 VDOP:0.96 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:07.440000] Initializing Fix:3D | Accel(m/s²) X:-0.1494 Y:+0.1759 Z:+9.9671  Gyro(°/s) X:-0.1981 Y:-0.0047 Z:-0.0837 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.015m/s VN:+0.015 VE:+0.004 VD:+0.000 | Lat:43.515361 Lon:-79.683961 | hAcc:0.621m vAcc:0.96m | HDOP:0.77 VDOP:0.96 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:08.530000] Initializing Fix:3D | Accel(m/s²) X:-0.1472 Y:+0.1765 Z:+9.9682  Gyro(°/s) X:-0.1979 Y:+0.0029 Z:-0.1034 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.015m/s VN:-0.013 VE:-0.006 VD:-0.012 | Lat:43.515361 Lon:-79.683961 | hAcc:0.623m vAcc:0.963m | HDOP:0.77 VDOP:0.96 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:09.520000] Initializing Fix:3D | Accel(m/s²) X:-0.1420 Y:+0.1740 Z:+9.9661  Gyro(°/s) X:-0.2111 Y:+0.0020 Z:-0.0894 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.025m/s VN:+0.018 VE:+0.017 VD:-0.009 | Lat:43.515361 Lon:-79.683961 | hAcc:0.625m vAcc:0.969m | HDOP:0.77 VDOP:0.96 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:10.470000] Initializing Fix:3D | Accel(m/s²) X:-0.1480 Y:+0.1767 Z:+9.9664  Gyro(°/s) X:-0.2069 Y:+0.0069 Z:-0.0985 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.006m/s VN:-0.006 VE:-0.001 VD:-0.011 | Lat:43.515361 Lon:-79.683962 | hAcc:0.627m vAcc:0.971m | HDOP:0.77 VDOP:0.96 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:11.500000] Initializing Fix:3D | Accel(m/s²) X:-0.1507 Y:+0.1774 Z:+9.9705  Gyro(°/s) X:-0.2050 Y:-0.0023 Z:-0.0828 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.005m/s VN:-0.004 VE:+0.004 VD:-0.021 | Lat:43.515361 Lon:-79.683962 | hAcc:0.625m vAcc:0.97m | HDOP:0.77 VDOP:0.96 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:12.520000] Initializing Fix:3D | Accel(m/s²) X:-0.1491 Y:+0.1662 Z:+9.9682  Gyro(°/s) X:-0.1898 Y:+0.0139 Z:-0.0938 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.015m/s VN:+0.015 VE:-0.004 VD:-0.021 | Lat:43.515361 Lon:-79.683963 | hAcc:0.628m vAcc:0.974m | HDOP:0.77 VDOP:0.96 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:13.540000] Initializing Fix:3D | Accel(m/s²) X:-0.1453 Y:+0.1711 Z:+9.9682  Gyro(°/s) X:-0.1935 Y:-0.0038 Z:-0.0828 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.028m/s VN:+0.002 VE:-0.028 VD:-0.021 | Lat:43.515361 Lon:-79.683964 | hAcc:0.635m vAcc:0.976m | HDOP:0.82 VDOP:1.0 PDOP:1.29 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:14.530000] Initializing Fix:3D | Accel(m/s²) X:-0.1426 Y:+0.1670 Z:+9.9686  Gyro(°/s) X:-0.2407 Y:-0.0237 Z:-0.0880 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.020m/s VN:-0.015 VE:-0.013 VD:-0.023 | Lat:43.515360 Lon:-79.683964 | hAcc:0.649m vAcc:0.984m | HDOP:0.82 VDOP:1.0 PDOP:1.29 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:15.520000] Initializing Fix:3D | Accel(m/s²) X:-0.1395 Y:+0.1795 Z:+9.9698  Gyro(°/s) X:-0.2015 Y:-0.0060 Z:-0.0945 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.011m/s VN:-0.002 VE:-0.010 VD:-0.021 | Lat:43.515360 Lon:-79.683965 | hAcc:0.66m vAcc:0.993m | HDOP:0.82 VDOP:1.0 PDOP:1.29 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:16.550000] Initializing Fix:3D | Accel(m/s²) X:-0.1469 Y:+0.1613 Z:+9.9589  Gyro(°/s) X:-0.0611 Y:+0.0805 Z:-0.0856 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.015m/s VN:+0.010 VE:-0.012 VD:-0.026 | Lat:43.515360 Lon:-79.683966 | hAcc:0.656m vAcc:0.985m | HDOP:0.82 VDOP:1.0 PDOP:1.29 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:17.570000] Initializing Fix:3D | Accel(m/s²) X:-0.1517 Y:+0.1768 Z:+9.9669  Gyro(°/s) X:-0.2022 Y:-0.0037 Z:-0.0926 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.008m/s VN:-0.006 VE:+0.005 VD:-0.031 | Lat:43.515360 Lon:-79.683968 | hAcc:0.646m vAcc:0.975m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:18.530000] Initializing Fix:3D | Accel(m/s²) X:-0.1499 Y:+0.1771 Z:+9.9683  Gyro(°/s) X:-0.1949 Y:+0.0049 Z:-0.1041 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.030m/s VN:-0.029 VE:+0.007 VD:-0.032 | Lat:43.515360 Lon:-79.683970 | hAcc:0.636m vAcc:0.966m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:19.580000] Initializing Fix:3D | Accel(m/s²) X:-0.1505 Y:+0.1813 Z:+9.9704  Gyro(°/s) X:-0.2056 Y:-0.0012 Z:-0.0876 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.010m/s VN:-0.005 VE:-0.009 VD:-0.038 | Lat:43.515360 Lon:-79.683972 | hAcc:0.629m vAcc:0.958m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:20.600000] Initializing Fix:3D | Accel(m/s²) X:-0.1497 Y:+0.1760 Z:+9.9684  Gyro(°/s) X:-0.2053 Y:-0.0114 Z:-0.0845 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.021m/s VN:+0.012 VE:-0.017 VD:-0.037 | Lat:43.515360 Lon:-79.683974 | hAcc:0.623m vAcc:0.952m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:21.590000] Initializing Fix:3D | Accel(m/s²) X:-0.1462 Y:+0.1673 Z:+9.9660  Gyro(°/s) X:-0.2928 Y:-0.0463 Z:-0.0940 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.018m/s VN:+0.017 VE:-0.008 VD:-0.032 | Lat:43.515360 Lon:-79.683975 | hAcc:0.617m vAcc:0.945m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:22.620000] Initializing Fix:3D | Accel(m/s²) X:-0.1354 Y:+0.1836 Z:+9.9771  Gyro(°/s) X:-0.1769 Y:-0.0119 Z:-0.0852 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.025m/s VN:+0.000 VE:-0.025 VD:-0.033 | Lat:43.515360 Lon:-79.683976 | hAcc:0.621m vAcc:0.946m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:23.610000] Initializing Fix:3D | Accel(m/s²) X:-0.1619 Y:+0.1801 Z:+9.9703  Gyro(°/s) X:-0.1470 Y:+0.0107 Z:-0.0931 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.018m/s VN:+0.011 VE:-0.014 VD:-0.027 | Lat:43.515360 Lon:-79.683977 | hAcc:0.635m vAcc:0.959m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:24.630000] Initializing Fix:3D | Accel(m/s²) X:-0.1645 Y:+0.1796 Z:+9.9687  Gyro(°/s) X:-0.2186 Y:-0.0069 Z:-0.0909 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.009m/s VN:+0.009 VE:-0.004 VD:-0.031 | Lat:43.515359 Lon:-79.683978 | hAcc:0.651m vAcc:0.974m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:25.590000] Initializing Fix:3D | Accel(m/s²) X:-0.1544 Y:+0.1717 Z:+9.9613  Gyro(°/s) X:-0.2222 Y:+0.0109 Z:-0.0835 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.027m/s VN:-0.013 VE:-0.024 VD:-0.038 | Lat:43.515358 Lon:-79.683979 | hAcc:0.666m vAcc:0.989m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:26.640000] Initializing Fix:3D | Accel(m/s²) X:-0.1490 Y:+0.1680 Z:+9.9635  Gyro(°/s) X:-0.1970 Y:-0.0009 Z:-0.0949 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.003m/s VN:+0.000 VE:+0.003 VD:-0.039 | Lat:43.515358 Lon:-79.683980 | hAcc:0.681m vAcc:1.006m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:27.600000] Initializing Fix:3D | Accel(m/s²) X:-0.1499 Y:+0.1766 Z:+9.9709  Gyro(°/s) X:-0.1858 Y:-0.0029 Z:-0.1061 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.011m/s VN:+0.009 VE:+0.007 VD:-0.041 | Lat:43.515358 Lon:-79.683982 | hAcc:0.695m vAcc:1.021m | HDOP:0.72 VDOP:0.97 PDOP:1.21 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:28.560000] Initializing Fix:3D | Accel(m/s²) X:-0.1447 Y:+0.1750 Z:+9.9705  Gyro(°/s) X:-0.2281 Y:-0.0233 Z:-0.0974 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.011m/s VN:+0.008 VE:-0.008 VD:-0.044 | Lat:43.515357 Lon:-79.683982 | hAcc:0.71m vAcc:1.036m | HDOP:0.72 VDOP:0.97 PDOP:1.21 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:29.610000] Initializing Fix:3D | Accel(m/s²) X:-0.1464 Y:+0.1725 Z:+9.9674  Gyro(°/s) X:-0.2511 Y:-0.0099 Z:-0.0885 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.007m/s VN:+0.003 VE:-0.006 VD:-0.049 | Lat:43.515357 Lon:-79.683983 | hAcc:0.728m vAcc:1.054m | HDOP:0.72 VDOP:0.97 PDOP:1.21 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:30.670000] Initializing Fix:3D | Accel(m/s²) X:-0.1457 Y:+0.1722 Z:+9.9696  Gyro(°/s) X:-0.2072 Y:-0.0019 Z:-0.1004 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.010m/s VN:-0.009 VE:+0.001 VD:-0.058 | Lat:43.515356 Lon:-79.683985 | hAcc:0.747m vAcc:1.072m | HDOP:0.73 VDOP:0.98 PDOP:1.22 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:31.690000] Initializing Fix:3D | Accel(m/s²) X:-0.1424 Y:+0.1704 Z:+9.9646  Gyro(°/s) X:-0.2020 Y:+0.0260 Z:-0.0819 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.018m/s VN:+0.003 VE:-0.017 VD:-0.053 | Lat:43.515356 Lon:-79.683985 | hAcc:0.764m vAcc:1.09m | HDOP:0.73 VDOP:0.98 PDOP:1.22 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:32.620000] Initializing Fix:3D | Accel(m/s²) X:-0.1502 Y:+0.1843 Z:+9.9728  Gyro(°/s) X:-0.2269 Y:-0.0068 Z:-0.0900 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.029m/s VN:-0.025 VE:-0.015 VD:-0.062 | Lat:43.515355 Lon:-79.683986 | hAcc:0.784m vAcc:1.11m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:33.710000] Initializing Fix:3D | Accel(m/s²) X:-0.1528 Y:+0.1730 Z:+9.9699  Gyro(°/s) X:-0.2331 Y:-0.0085 Z:-0.0874 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.044m/s VN:-0.036 VE:+0.024 VD:-0.077 | Lat:43.515355 Lon:-79.683987 | hAcc:0.808m vAcc:1.126m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:34.700000] Initializing Fix:3D | Accel(m/s²) X:-0.1449 Y:+0.1776 Z:+9.9678  Gyro(°/s) X:-0.2259 Y:-0.0089 Z:-0.1046 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.017m/s VN:+0.000 VE:+0.017 VD:-0.077 | Lat:43.515353 Lon:-79.683989 | hAcc:0.827m vAcc:1.137m | HDOP:0.7 VDOP:0.92 PDOP:1.16 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:35.720000] Initializing Fix:3D | Accel(m/s²) X:-0.1521 Y:+0.1747 Z:+9.9736  Gyro(°/s) X:-0.2206 Y:+0.0048 Z:-0.1022 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.005m/s VN:-0.001 VE:+0.005 VD:-0.077 | Lat:43.515353 Lon:-79.683991 | hAcc:0.848m vAcc:1.146m | HDOP:0.69 VDOP:0.92 PDOP:1.15 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:36.710000] Initializing Fix:3D | Accel(m/s²) X:-0.1506 Y:+0.1681 Z:+9.9709  Gyro(°/s) X:-0.2677 Y:+0.0334 Z:-0.1209 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.043m/s VN:+0.040 VE:-0.016 VD:-0.087 | Lat:43.515353 Lon:-79.683993 | hAcc:0.871m vAcc:1.158m | HDOP:0.76 VDOP:1.05 PDOP:1.3 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:37.730000] Initializing Fix:3D | Accel(m/s²) X:-0.1465 Y:+0.1671 Z:+9.9689  Gyro(°/s) X:-0.2230 Y:-0.0100 Z:-0.1001 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.040m/s VN:-0.019 VE:-0.035 VD:-0.094 | Lat:43.515354 Lon:-79.683994 | hAcc:0.891m vAcc:1.166m | HDOP:0.82 VDOP:1.09 PDOP:1.37 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
